Gaji Awal,Gaji Akhir,Kadar Caruman SOCSO,Kadar Caruman EIS
0,30,0.1,0.05
30,50,0.2,0.1
50,70,0.3,0.15
70,100,0.4,0.2
100,140,0.6,0.25
140,200,0.85,0.35
200,300,1.25,0.5
300,400,1.75,0.7
400,500,2.25,0.9
500,600,2.75,1.1
600,700,3.25,1.3
700,800,3.75,1.5
800,900,4.25,1.7
900,1000,4.75,1.9
1000,1100,5.25,2.1
1100,1200,5.75,2.3
1200,1300,6.25,2.5
1300,1400,6.75,2.7
1400,1500,7.25,2.9
1500,1600,7.75,3.1
1600,1700,8.25,3.3
1700,1800,8.75,3.5
1800,1900,9.25,3.7
1900,2000,9.75,3.9
2000,2100,10.25,4.1
2100,2200,10.75,4.3
2200,2300,11.25,4.5
2300,2400,11.75,4.7
2400,2500,12.25,4.9
2500,2600,12.75,5.1
2600,2700,13.25,5.3
2700,2800,13.75,5.5
2800,2900,14.25,5.7
2900,3000,14.75,5.9
3000,3100,15.25,6.1
3100,3200,15.75,6.3
3200,3300,16.25,6.5
3300,3400,16.75,6.7
3400,3500,17.25,6.9
3500,3600,17.75,7.1
3600,3700,18.25,7.3
3700,3800,18.75,7.5
3800,3900,19.25,7.7
3900,4000,19.75,7.9
4000,4100,20.25,8.1
4100,4200,20.75,8.3
4200,4300,21.25,8.5
4300,4400,21.75,8.7
4400,4500,22.25,8.9
4500,4600,22.75,9.1
4600,4700,23.25,9.3
4700,4800,23.75,9.5
4800,4900,24.25,9.7
4900,5000,24.75,9.9
5000,5100,25.25,10.1
5100,5200,25.75,10.3
5200,5300,26.25,10.5
5300,5400,26.75,10.7
5400,5500,27.25,10.9
5500,5600,27.75,11.1
5600,5700,28.25,11.3
5700,5800,28.75,11.5
5800,5900,29.25,11.7
5900,6000,29.75,11.9
6000,1000000,29.75,11.9
